age,parrot_name,number_of_words
5,Eclectus,18
47,Rose-ringed parakeet,80
15,Eclectus,25
58,Budgerigar,93
29,Rose-ringed parakeet,50
34,Budgerigar,65
6,Eclectus,13
56,Rose-ringed parakeet,99
10,Rose-ringed parakeet,15
18,Eclectus,34
46,Budgerigar,88
39,Budgerigar,61
7,Rose-ringed parakeet,15
17,Rose-ringed parakeet,32
13,Rose-ringed parakeet,25
2,Rose-ringed parakeet,19
55,Eclectus,85
52,Budgerigar,82
21,Budgerigar,50
41,Rose-ringed parakeet,78
38,Rose-ringed parakeet,60
7,Budgerigar,14
51,Rose-ringed parakeet,86
29,Eclectus,52
58,Eclectus,92
26,Eclectus,59
42,Budgerigar,72
34,Budgerigar,63
22,Eclectus,50
24,Rose-ringed parakeet,43
5,Eclectus,11
30,Rose-ringed parakeet,50
3,Budgerigar,20
51,Budgerigar,89
50,Eclectus,89
7,Rose-ringed parakeet,13
7,Rose-ringed parakeet,13
30,Rose-ringed parakeet,55
24,Budgerigar,45
10,Eclectus,19
32,Budgerigar,61
18,Eclectus,39
57,Eclectus,95
20,Rose-ringed parakeet,34
43,Eclectus,75
38,Rose-ringed parakeet,62
24,Rose-ringed parakeet,43
36,Rose-ringed parakeet,63
54,Budgerigar,84
34,Rose-ringed parakeet,64
50,Eclectus,87
24,Rose-ringed parakeet,49
47,Rose-ringed parakeet,80
47,Eclectus,85
48,Budgerigar,80
56,Rose-ringed parakeet,100
44,Eclectus,71
19,Rose-ringed parakeet,30
1,Eclectus,20
49,Budgerigar,83
14,Rose-ringed parakeet,23
4,Rose-ringed parakeet,10
60,Rose-ringed parakeet,98
25,Budgerigar,45
51,Budgerigar,88
19,Rose-ringed parakeet,39
17,Budgerigar,37
5,Rose-ringed parakeet,19
21,Rose-ringed parakeet,40
58,Rose-ringed parakeet,92
20,Rose-ringed parakeet,30
18,Budgerigar,36
10,Budgerigar,13
47,Budgerigar,87
47,Eclectus,81
16,Budgerigar,32
39,Rose-ringed parakeet,64
14,Eclectus,21
13,Eclectus,26
2,Rose-ringed parakeet,12
16,Eclectus,36
55,Eclectus,81
51,Rose-ringed parakeet,82
21,Rose-ringed parakeet,42
2,Eclectus,20
28,Budgerigar,50
55,Budgerigar,88
18,Eclectus,36
47,Rose-ringed parakeet,87
45,Budgerigar,78
11,Budgerigar,20
26,Budgerigar,57
46,Budgerigar,87
27,Eclectus,57
34,Budgerigar,67
23,Rose-ringed parakeet,46
1,Budgerigar,17
33,Budgerigar,63
19,Budgerigar,38
54,Budgerigar,88
25,Rose-ringed parakeet,50
46,Eclectus,80
58,Eclectus,93
46,Rose-ringed parakeet,86
55,Rose-ringed parakeet,81
28,Eclectus,59
27,Eclectus,54
58,Rose-ringed parakeet,97
34,Rose-ringed parakeet,64
34,Budgerigar,62
22,Rose-ringed parakeet,48
23,Eclectus,49
8,Budgerigar,12
30,Budgerigar,52
26,Budgerigar,50
44,Rose-ringed parakeet,74
27,Rose-ringed parakeet,58
38,Eclectus,65
60,Eclectus,97
55,Eclectus,82
37,Eclectus,60
5,Rose-ringed parakeet,17
51,Budgerigar,82
60,Eclectus,93
37,Eclectus,70
55,Budgerigar,84
25,Budgerigar,44
24,Eclectus,45
27,Eclectus,55
55,Rose-ringed parakeet,86
34,Rose-ringed parakeet,66
45,Budgerigar,78
28,Budgerigar,60
26,Rose-ringed parakeet,54
58,Budgerigar,91
20,Rose-ringed parakeet,39
42,Rose-ringed parakeet,73
32,Eclectus,64
26,Eclectus,57
16,Budgerigar,30
44,Rose-ringed parakeet,72
25,Eclectus,47
51,Eclectus,89
60,Eclectus,97
28,Rose-ringed parakeet,53
44,Budgerigar,79
45,Eclectus,73
52,Budgerigar,84
60,Budgerigar,93
12,Eclectus,22
53,Rose-ringed parakeet,85
38,Eclectus,69
10,Rose-ringed parakeet,17
29,Rose-ringed parakeet,55
36,Budgerigar,67
22,Budgerigar,42
2,Eclectus,11
31,Eclectus,66
17,Budgerigar,40
4,Eclectus,14
38,Eclectus,68
55,Budgerigar,81
21,Budgerigar,44
48,Budgerigar,87
17,Budgerigar,32
8,Budgerigar,15
28,Eclectus,57
60,Rose-ringed parakeet,98
11,Budgerigar,25
13,Eclectus,29
47,Budgerigar,84
11,Budgerigar,23
8,Eclectus,20
54,Eclectus,81
38,Budgerigar,64
41,Eclectus,78
21,Budgerigar,42
17,Rose-ringed parakeet,35
39,Eclectus,70
10,Budgerigar,14
8,Eclectus,17
1,Rose-ringed parakeet,10
27,Rose-ringed parakeet,55
49,Eclectus,83
8,Budgerigar,15
44,Rose-ringed parakeet,76
29,Rose-ringed parakeet,60
60,Budgerigar,95
59,Rose-ringed parakeet,99
3,Rose-ringed parakeet,20
4,Rose-ringed parakeet,14
37,Eclectus,69
47,Eclectus,87
10,Rose-ringed parakeet,11
1,Rose-ringed parakeet,16
13,Budgerigar,27
46,Budgerigar,82
57,Budgerigar,99
17,Rose-ringed parakeet,38
60,Budgerigar,96
8,Budgerigar,19
14,Rose-ringed parakeet,22
48,Rose-ringed parakeet,81
19,Budgerigar,31
38,Eclectus,68
38,Eclectus,69
7,Eclectus,10
47,Eclectus,90
46,Budgerigar,90
11,Budgerigar,22
27,Rose-ringed parakeet,55
30,Eclectus,51
42,Eclectus,76
26,Rose-ringed parakeet,53
60,Rose-ringed parakeet,99
38,Rose-ringed parakeet,66
45,Rose-ringed parakeet,74
51,Budgerigar,89
50,Rose-ringed parakeet,85
52,Budgerigar,80
59,Budgerigar,92
32,Rose-ringed parakeet,64
14,Eclectus,22
8,Rose-ringed parakeet,19
29,Budgerigar,51
42,Budgerigar,78
60,Rose-ringed parakeet,95
45,Eclectus,75
39,Eclectus,69
58,Budgerigar,98
47,Eclectus,90
25,Rose-ringed parakeet,49
52,Budgerigar,89
17,Eclectus,34
55,Rose-ringed parakeet,83
18,Budgerigar,30
34,Budgerigar,64
18,Rose-ringed parakeet,39
44,Budgerigar,74
36,Rose-ringed parakeet,60
4,Budgerigar,20
56,Eclectus,91
15,Rose-ringed parakeet,21
59,Rose-ringed parakeet,100
54,Budgerigar,81
8,Eclectus,20
60,Eclectus,90
38,Eclectus,68
39,Budgerigar,66
28,Eclectus,51
16,Budgerigar,33
38,Budgerigar,62
8,Eclectus,13
59,Eclectus,98
18,Budgerigar,32
48,Rose-ringed parakeet,81
52,Budgerigar,89
15,Eclectus,22
47,Eclectus,82
6,Budgerigar,20
49,Eclectus,90
54,Eclectus,88
5,Rose-ringed parakeet,18
54,Budgerigar,81
47,Rose-ringed parakeet,87
2,Budgerigar,11
58,Rose-ringed parakeet,100
26,Rose-ringed parakeet,56
28,Rose-ringed parakeet,50
33,Rose-ringed parakeet,61
17,Rose-ringed parakeet,36
26,Rose-ringed parakeet,54
52,Eclectus,85
45,Eclectus,80
14,Budgerigar,26
27,Budgerigar,50
46,Eclectus,90
27,Rose-ringed parakeet,51
11,Rose-ringed parakeet,27
38,Eclectus,68
23,Budgerigar,46
10,Budgerigar,17
47,Rose-ringed parakeet,87
7,Rose-ringed parakeet,15
39,Eclectus,62
32,Budgerigar,70
11,Budgerigar,29
26,Rose-ringed parakeet,58
51,Eclectus,89
57,Eclectus,100
18,Budgerigar,40
34,Eclectus,67
34,Eclectus,70
54,Eclectus,88
32,Budgerigar,60
25,Eclectus,45
13,Rose-ringed parakeet,29
43,Budgerigar,72
5,Rose-ringed parakeet,20
41,Rose-ringed parakeet,71
43,Rose-ringed parakeet,74
22,Rose-ringed parakeet,46
3,Eclectus,17
10,Budgerigar,16
26,Budgerigar,56
12,Rose-ringed parakeet,29
18,Eclectus,38
24,Rose-ringed parakeet,42
49,Rose-ringed parakeet,88
39,Budgerigar,63
41,Eclectus,77
11,Budgerigar,27
31,Eclectus,69
52,Eclectus,86
32,Rose-ringed parakeet,68
46,Budgerigar,80
51,Eclectus,89
40,Eclectus,70
43,Rose-ringed parakeet,78
15,Rose-ringed parakeet,28
23,Rose-ringed parakeet,47
5,Budgerigar,19
38,Budgerigar,64
38,Budgerigar,61
43,Eclectus,80
4,Budgerigar,15
20,Rose-ringed parakeet,33
11,Budgerigar,20
50,Budgerigar,90
34,Eclectus,63
32,Rose-ringed parakeet,68
16,Eclectus,38
24,Budgerigar,40
45,Rose-ringed parakeet,75
53,Eclectus,82
40,Eclectus,62
38,Rose-ringed parakeet,63
57,Budgerigar,93
33,Budgerigar,67
51,Eclectus,81
19,Rose-ringed parakeet,33
36,Eclectus,63
42,Rose-ringed parakeet,80
9,Rose-ringed parakeet,18
44,Rose-ringed parakeet,70
25,Eclectus,49
40,Eclectus,68
15,Eclectus,22
13,Budgerigar,26
36,Rose-ringed parakeet,64
26,Rose-ringed parakeet,56
45,Eclectus,71
37,Budgerigar,60
22,Rose-ringed parakeet,48
34,Eclectus,60
15,Rose-ringed parakeet,23
56,Budgerigar,95
56,Eclectus,95
5,Eclectus,13
10,Rose-ringed parakeet,20
46,Eclectus,90
5,Eclectus,18
3,Rose-ringed parakeet,17
19,Rose-ringed parakeet,37
18,Rose-ringed parakeet,30
41,Budgerigar,70
46,Rose-ringed parakeet,86
37,Rose-ringed parakeet,64
30,Eclectus,54
55,Budgerigar,81
37,Eclectus,66
49,Eclectus,87
13,Budgerigar,23
34,Eclectus,60
27,Eclectus,54
41,Budgerigar,73
11,Budgerigar,21
39,Eclectus,65
9,Rose-ringed parakeet,20
3,Rose-ringed parakeet,20
2,Eclectus,18
9,Eclectus,18
53,Rose-ringed parakeet,87
7,Rose-ringed parakeet,11
37,Budgerigar,66
30,Budgerigar,60
41,Budgerigar,79
32,Rose-ringed parakeet,64
53,Budgerigar,90
12,Eclectus,25
3,Eclectus,17
1,Rose-ringed parakeet,17
27,Budgerigar,58
29,Rose-ringed parakeet,55
40,Rose-ringed parakeet,67
16,Budgerigar,35
39,Eclectus,63
14,Budgerigar,22
37,Rose-ringed parakeet,64
35,Rose-ringed parakeet,60
53,Budgerigar,88
17,Budgerigar,33
43,Rose-ringed parakeet,73
49,Rose-ringed parakeet,90
24,Budgerigar,42
1,Eclectus,16
20,Budgerigar,32
12,Eclectus,21
17,Rose-ringed parakeet,34
26,Rose-ringed parakeet,50
8,Eclectus,18
8,Rose-ringed parakeet,17
19,Rose-ringed parakeet,35
29,Budgerigar,60
37,Rose-ringed parakeet,64
60,Budgerigar,100
29,Eclectus,57
4,Eclectus,13
43,Budgerigar,73
51,Eclectus,89
55,Budgerigar,86
47,Budgerigar,85
6,Rose-ringed parakeet,19
6,Rose-ringed parakeet,16
39,Eclectus,62
14,Rose-ringed parakeet,25
44,Budgerigar,73
3,Budgerigar,18
8,Budgerigar,14
9,Eclectus,15
3,Rose-ringed parakeet,20
17,Rose-ringed parakeet,38
59,Budgerigar,90
37,Rose-ringed parakeet,64
6,Budgerigar,13
59,Eclectus,99
13,Budgerigar,25
55,Eclectus,83
3,Rose-ringed parakeet,16
2,Budgerigar,15
22,Eclectus,48
37,Eclectus,68
20,Budgerigar,33
6,Budgerigar,13
55,Eclectus,82
35,Rose-ringed parakeet,69
31,Budgerigar,65
32,Eclectus,66
16,Budgerigar,37
22,Budgerigar,48
55,Rose-ringed parakeet,85
39,Eclectus,69
25,Eclectus,44
45,Rose-ringed parakeet,77
56,Rose-ringed parakeet,95
42,Budgerigar,75
7,Rose-ringed parakeet,19
46,Rose-ringed parakeet,81
38,Eclectus,66
2,Budgerigar,14
27,Eclectus,54
11,Eclectus,23
33,Rose-ringed parakeet,65
39,Eclectus,68
1,Eclectus,15
3,Eclectus,18
45,Eclectus,74
23,Rose-ringed parakeet,46
9,Rose-ringed parakeet,13
10,Rose-ringed parakeet,13
4,Eclectus,19
26,Budgerigar,55
31,Rose-ringed parakeet,65
41,Budgerigar,72
47,Budgerigar,80
20,Eclectus,38
10,Eclectus,15
35,Eclectus,67
9,Rose-ringed parakeet,16
43,Budgerigar,71
34,Budgerigar,62
45,Eclectus,79
4,Budgerigar,14
19,Rose-ringed parakeet,31
20,Rose-ringed parakeet,36
38,Eclectus,63
9,Rose-ringed parakeet,14
41,Rose-ringed parakeet,75
23,Eclectus,45
46,Budgerigar,89
37,Rose-ringed parakeet,60
43,Budgerigar,75
48,Eclectus,85
35,Eclectus,68
34,Rose-ringed parakeet,67
45,Eclectus,77
35,Budgerigar,65
32,Eclectus,70
31,Rose-ringed parakeet,70
50,Eclectus,81
32,Budgerigar,63
24,Eclectus,48
25,Budgerigar,42
4,Rose-ringed parakeet,19
47,Budgerigar,88
17,Budgerigar,39
20,Budgerigar,35
34,Eclectus,62
39,Rose-ringed parakeet,69
20,Eclectus,32
44,Eclectus,80
14,Rose-ringed parakeet,21
34,Eclectus,67
57,Rose-ringed parakeet,95
2,Rose-ringed parakeet,19
34,Eclectus,61
29,Eclectus,51
7,Eclectus,18
17,Rose-ringed parakeet,36
28,Rose-ringed parakeet,56
2,Rose-ringed parakeet,15
52,Budgerigar,84
31,Eclectus,61
8,Eclectus,19
26,Eclectus,57
2,Rose-ringed parakeet,14
26,Eclectus,53
43,Eclectus,77
48,Eclectus,89
33,Budgerigar,65
21,Eclectus,46
15,Rose-ringed parakeet,24
35,Eclectus,61
5,Eclectus,10
38,Budgerigar,64
32,Budgerigar,65
34,Budgerigar,67
2,Eclectus,15
14,Eclectus,27
14,Eclectus,21
15,Rose-ringed parakeet,20
42,Budgerigar,71
9,Eclectus,19
35,Eclectus,60
45,Eclectus,73
54,Eclectus,80
58,Budgerigar,98
54,Rose-ringed parakeet,86
11,Eclectus,26
57,Budgerigar,94
17,Budgerigar,32
39,Rose-ringed parakeet,69
51,Budgerigar,83
47,Eclectus,81
24,Rose-ringed parakeet,43
41,Rose-ringed parakeet,80
44,Eclectus,74
19,Budgerigar,38
49,Rose-ringed parakeet,88
48,Budgerigar,82
50,Eclectus,90
45,Rose-ringed parakeet,80
44,Rose-ringed parakeet,80
54,Budgerigar,87
15,Eclectus,28
19,Budgerigar,30
45,Eclectus,79
22,Budgerigar,45
58,Eclectus,97
15,Rose-ringed parakeet,26
34,Eclectus,70
29,Budgerigar,60
16,Eclectus,31
12,Rose-ringed parakeet,30
37,Eclectus,61
10,Eclectus,18
10,Budgerigar,17
2,Rose-ringed parakeet,12
16,Rose-ringed parakeet,35
3,Budgerigar,16
38,Eclectus,60
56,Budgerigar,90
30,Eclectus,56
17,Eclectus,35
11,Budgerigar,29
20,Rose-ringed parakeet,38
42,Budgerigar,80
12,Eclectus,23
11,Budgerigar,27
40,Eclectus,60
31,Eclectus,63
45,Rose-ringed parakeet,75
52,Eclectus,89
49,Budgerigar,89
34,Rose-ringed parakeet,62
24,Rose-ringed parakeet,46
34,Eclectus,61
35,Budgerigar,60
27,Rose-ringed parakeet,59
6,Eclectus,14
28,Rose-ringed parakeet,50
3,Rose-ringed parakeet,14
55,Eclectus,89
31,Budgerigar,63
29,Budgerigar,53
13,Rose-ringed parakeet,29
15,Rose-ringed parakeet,27
5,Budgerigar,10
51,Budgerigar,81
35,Eclectus,65
33,Budgerigar,70
34,Rose-ringed parakeet,60
53,Budgerigar,82
21,Rose-ringed parakeet,46
39,Rose-ringed parakeet,70
7,Budgerigar,17
47,Rose-ringed parakeet,75
10,Rose-ringed parakeet,19
4,Eclectus,13
27,Rose-ringed parakeet,56
9,Budgerigar,19
26,Budgerigar,40
53,Eclectus,87
56,Rose-ringed parakeet,90
47,Budgerigar,84
3,Budgerigar,16
39,Budgerigar,66
12,Eclectus,19
41,Budgerigar,78
38,Budgerigar,55
38,Budgerigar,63
56,Rose-ringed parakeet,98
37,Rose-ringed parakeet,70
25,Rose-ringed parakeet,49
22,Eclectus,46
60,Rose-ringed parakeet,97
22,Budgerigar,43
43,Eclectus,64
52,Rose-ringed parakeet,79
54,Rose-ringed parakeet,89
42,Eclectus,68
20,Rose-ringed parakeet,28
25,Budgerigar,38
20,Budgerigar,22
53,Eclectus,78
43,Eclectus,78
37,Budgerigar,67
38,Rose-ringed parakeet,68
26,Rose-ringed parakeet,45
50,Budgerigar,85
15,Rose-ringed parakeet,12
33,Budgerigar,54
48,Budgerigar,70
30,Eclectus,57
52,Rose-ringed parakeet,77
10,Eclectus,15
11,Rose-ringed parakeet,12
53,Budgerigar,81
16,Eclectus,31
12,Budgerigar,20
58,Eclectus,100
45,Budgerigar,60
2,Eclectus,19
16,Eclectus,36
60,Rose-ringed parakeet,83
2,Rose-ringed parakeet,17
57,Rose-ringed parakeet,93
6,Eclectus,13
58,Eclectus,96
23,Rose-ringed parakeet,42
15,Eclectus,23
20,Rose-ringed parakeet,35
40,Budgerigar,56
13,Rose-ringed parakeet,28
17,Eclectus,27
27,Rose-ringed parakeet,60
50,Rose-ringed parakeet,86
45,Budgerigar,70
22,Eclectus,30
11,Eclectus,30
19,Budgerigar,24
45,Budgerigar,79
25,Eclectus,48
4,Budgerigar,19
54,Eclectus,83
42,Rose-ringed parakeet,74
15,Eclectus,20
51,Rose-ringed parakeet,81
12,Budgerigar,30
26,Budgerigar,57
15,Eclectus,16
20,Eclectus,31
59,Rose-ringed parakeet,92
12,Budgerigar,27
6,Budgerigar,15
43,Budgerigar,77
43,Rose-ringed parakeet,64
60,Budgerigar,86
26,Budgerigar,52
55,Eclectus,73
1,Eclectus,17
8,Rose-ringed parakeet,12
19,Budgerigar,27
13,Eclectus,28
47,Rose-ringed parakeet,79
60,Rose-ringed parakeet,98
54,Rose-ringed parakeet,88
2,Eclectus,16
19,Rose-ringed parakeet,21
52,Rose-ringed parakeet,90
7,Rose-ringed parakeet,10
2,Rose-ringed parakeet,10
54,Budgerigar,78
29,Budgerigar,45
16,Eclectus,33
47,Budgerigar,79
57,Budgerigar,99
47,Eclectus,84
40,Rose-ringed parakeet,67
47,Eclectus,75
10,Rose-ringed parakeet,15
12,Eclectus,28
6,Rose-ringed parakeet,18
19,Rose-ringed parakeet,28
13,Budgerigar,11
11,Eclectus,20
53,Rose-ringed parakeet,77
36,Eclectus,53
41,Eclectus,69
38,Rose-ringed parakeet,60
19,Budgerigar,35
59,Eclectus,81
40,Budgerigar,51
17,Rose-ringed parakeet,37
6,Eclectus,10
46,Eclectus,71
21,Budgerigar,46
33,Eclectus,53
49,Budgerigar,82
34,Eclectus,69
36,Eclectus,60
4,Budgerigar,19
22,Rose-ringed parakeet,31
13,Budgerigar,13
12,Budgerigar,14
